when,href,area,price,long,lat
Prodáno 31. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.07361426179854%2C14.44299106796811%5D%2C%22unit%22%3A%2221689164-1892-7%22%2C%22text%22%3A%22Lu%C5%BEick%C3%A1%201892%2F7%2C%20Praha%22%7D,"Byt 2+1, 65 m2","13 667 000 Kč
210 262 Kč/m2",14.4429910679681,50.07361426179854
Prodáno 30. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.05359234724343%2C14.498792024636302%5D%2C%22unit%22%3A%2222395342-3111-12%22%2C%22text%22%3A%22Aubrechtov%C3%A9%203107%2F2%2C%20Praha%22%7D,"Byt 3+1, 93 m2","7 350 000 Kč
79 203 Kč/m2",14.4987920246363,50.05359234724343
Prodáno 29. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.14223941524749%2C14.09945319567291%5D%2C%22unit%22%3A%221392174-894-10%22%2C%22text%22%3A%22V%C3%A1clava%20Rabase%20894%2C%20Kladno%22%7D,"Byt 2+kk, 44 m2","3 530 000 Kč
80 227 Kč/m2",14.0994531956729,50.14223941524749
Prodáno 26. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.03261479625899%2C14.513724113687562%5D%2C%22unit%22%3A%2221832382-1641-45%22%2C%22text%22%3A%22Brandlova%201641%2F1%2C%20Praha%22%7D,"Byt 1+kk, 42 m2","4 760 000 Kč
113 876 Kč/m2",14.5137241136875,50.03261479625899
Prodáno 26. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.133102598365944%2C14.135075667416357%5D%2C%22unit%22%3A%221437381-2598-26%22%2C%22text%22%3A%22Litevsk%C3%A1%202598%2C%20Kladno%22%7D,"Byt 2+1, 70 m2","4 150 000 Kč
59 117 Kč/m2",14.135075667416,50.133102598365944
Prodáno 25. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.08936247380805%2C14.308075407809845%5D%2C%22unit%22%3A%2222014888-850-73%22%2C%22text%22%3A%22Vlastina%20850%2F36%2C%20Praha%22%7D,"Byt 2+kk, 41 m2","4 750 000 Kč
114 734 Kč/m2",14.3080754078098,50.08936247380805
Prodáno 25. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.05127461072208%2C14.543469334970316%5D%2C%22unit%22%3A%2222376691-896-12%22%2C%22text%22%3A%22Ly%C5%BEa%C5%99sk%C3%A1%20895%2F2%2C%20Praha%22%7D,"Byt 2+1, 60 m2","5 800 000 Kč
96 026 Kč/m2",14.5434693349703,50.05127461072208
Prodáno 25. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.08124823222095%2C14.498295950439058%5D%2C%22unit%22%3A%2222367250-512-94%22%2C%22text%22%3A%22Po%C4%8Dernick%C3%A1%20512%2F58%2C%20Praha%22%7D,"Byt 3+1, 73 m2","7 050 000 Kč
96 575 Kč/m2",14.498295950439,50.08124823222095
Prodáno 24. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.08101399272326%2C14.496604308088706%5D%2C%22unit%22%3A%2222367276-514-76%22%2C%22text%22%3A%22Po%C4%8Dernick%C3%A1%20514%2F54%2C%20Praha%22%7D,"Byt 1+kk, 24 m2","3 500 000 Kč
144 628 Kč/m2",14.4966043080887,50.08101399272326
Prodáno 24. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.08480033295069%2C14.483997531003501%5D%2C%22unit%22%3A%2294686262-3428-301%22%2C%22text%22%3A%22Zv%C4%9B%C5%99inova%203428%2F5%2C%20Praha%22%7D,"Byt 3+kk, 95 m2","12 000 000 Kč
126 316 Kč/m2",14.4839975310035,50.08480033295069
Prodáno 23. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.06768217939271%2C14.292006948747208%5D%2C%22unit%22%3A%2251772302-480-13%22%2C%22text%22%3A%22Tvrdonick%C3%A1%20480%2F2%2C%20Praha%22%7D,"Byt 1+kk, 46 m2","6 295 000 Kč
138 048 Kč/m2",14.2920069487472,50.06768217939271
Prodáno 23. 8. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B49.9359277459472%2C14.710256693798398%5D%2C%22unit%22%3A%2221059110-55-203%22%2C%22text%22%3A%22Masarykovo%20n%C3%A1m%C4%9Bst%C3%AD%2055%2C%20Mnichovice%22%7D,"Byt 2+kk, 49 m2","5 990 000 Kč
122 245 Kč/m2",14.71025669379839,49.9359277459472
